
6 KARAT 2152_ Stadt Land Fluss 80% Schurwolle (Merino fine, superwash), 20% Seide
 6 KARAT 2153_ Lippenbekenntnis 80% Schurwolle (Merino fine, superwash), 20% Seide
6 KARAT 2154_ Froschkönig 80% Schurwolle (Merino fine, superwash), 20% Seide
 6 KARAT 2155_ Blauer Planet 80% Schurwolle (Merino fine, superwash), 20% Seide
6 KARAT 2235_ Gib mehr Grün 80% Schurwolle (Merino fine, superwash), 20% Seide
 6 KARAT 2268_ Kleingedrucktes 80% Schurwolle (Merino fine, superwash), 20% Seide
6 KARAT 2318_ 4 Freunde 80% Schurwolle (Merino fine, superwash), 20% Seide
 6 KARAT Shadow 2279_ Rechtes Licht 80% Schurwolle (Merino fine, superwash), 20% Seide
6 KARAT Shadow 2285_ Raw Denim 80% Schurwolle (Merino fine, superwash), 20% Seide
 6 KARAT Shadow 2287_ Meeresblick 80% Schurwolle (Merino fine, superwash), 20% Seide
6 KARAT Shadow 2344_ Nachtschicht 80% Schurwolle (Merino fine, superwash), 20% Seide
 6 KARAT Shadow 2346_ Rosarium 80% Schurwolle (Merino fine, superwash), 20% Seide
6 KARAT Shadow 2371_ Roter Ocker 80% Schurwolle (Merino fine, superwash), 20% Seide
 6 KARAT Shadow 2375_ Lagoon 80% Schurwolle (Merino fine, superwash), 20% Seide
 6 KARAT Shadow 2377_ Elefantenhaut 80% Schurwolle (Merino fine, superwash), 20% Seide
6 KARAT Shadow 2379_ Seidenschwarz 80% Schurwolle (Merino fine, superwash), 20% Seide
 6 KARAT Shadow 2408_ Bordeaux schattiert 80% Schurwolle (Merino fine, superwash), 20% Seide
 6 KARAT Shadow 2445_ Lucid 80% Schurwolle (Merino fine, superwash), 20% Seide
 6 KARAT Shadow 2446_ Himbeersorbet 80% Schurwolle (Merino fine, superwash), 20% Seide
