
Cashmere Queen 0781 Jaffa 45% Schurwolle (Merino medium), 35% Kaschmir, 20%Seide
Cashmere Queen 1065 Terracotta 45% Schurwolle (Merino medium), 35% Kaschmir, 20%Seide
Cashmere Queen 1303 Kirsche 45% Schurwolle (Merino medium), 35% Kaschmir, 20%Seide
 Cashmere Queen 2965 Pflaume 45% Schurwolle (Merino medium), 35% Kaschmir, 20%Seide
Cashmere Queen 4375 Blauschleier 45% Schurwolle (Merino medium), 35% Kaschmir, 20%Seide
 ashmere Queen 5723 Helio 45% Schurwolle (Merino medium), 35% Kaschmir, 20%Seide
Cashmere Queen 5990 Petrol 45% Schurwolle (Merino medium), 35% Kaschmir, 20%Seide
 Cashmere Queen 6165 Wald 45% Schurwolle (Merino medium), 35% Kaschmir, 20%Seide
Cashmere Queen 7130 Beige-Meliert 45% Schurwolle (Merino medium), 35% Kaschmir, 20%Seide
 Cashmere Queen 7181 Camel 45% Schurwolle (Merino medium), 35% Kaschmir, 20%Seide
Cashmere Queen 7810 Blassrosa 45% Schurwolle (Merino medium), 35% Kaschmir, 20%Seide
 Cashmere Queen 7873 Alpakabraun 45% Schurwolle (Merino medium), 35% Kaschmir, 20%Seide
 Cashmere Queen 9205 Graphit 45% Schurwolle (Merino medium), 35% Kaschmir, 20%Seide
Cashmere Queen 9220m Hellgrau Melange 45% Schurwolle (Merino medium), 35% Kaschmir, 20%Seide
 Cashmere Queen 986 Natur gewaschen 45% Schurwolle (Merino medium), 35% Kaschmir, 20%Seide
