
Edition 3 2100_ Domino 100% Schurwolle (Merino fine, superwash)
 Edition 3 2296_ Englischer Garten 100% Schurwolle (Merino fine, superwash)
Edition 3 2297_ Bodenprobe 100% Schurwolle (Merino fine, superwash)
 Edition 3 2298_ Waschtag 100% Schurwolle (Merino fine, superwash)
Edition 3 2299_ Wärmebild 100% Schurwolle (Merino fine, superwash)
Edition 3 2301_ Taupunkt 100% Schurwolle (Merino fine, superwash)
Edition 3 2328_ Gartentage 100% Schurwolle (Merino fine, superwash)
 Edition 3 2329_ Strandcafé 100% Schurwolle (Merino fine, superwash)
Edition 3 2333_ Ipanema Beach 100% Schurwolle (Merino fine, superwash)
 Edition 3 2349_ Spurenelemente 100% Schurwolle (Merino fine, superwash)
Edition 3 2361_ Tante Emma 100% Schurwolle (Merino fine, superwash)
 Edition 3 2362_ Blauschleier 100% Schurwolle (Merino fine, superwash)
 Edition 3 2399_ Rosetta 100% Schurwolle (Merino fine, superwash)
Edition 3 2401_ Teils Heiter 100% Schurwolle (Merino fine, superwash)
 Edition 3 2442_ Holzklasse 100% Schurwolle (Merino fine, superwash)
