
Lace Ball 100 1505 Kunterbunt 100% Schurwolle (Merino medium, superwash)
Lace Ball 100 1699_ Fliederduft 100% Schurwolle (Merino medium, superwash)
Lace Ball 100 1701_ Papagei 100% Schurwolle (Merino medium, superwash) 
Lace Ball 100 2166_ Heißes Eisen 100% Schurwolle (Merino medium, superwash)
Lace Ball 100 2168_ Evergreen 100% Schurwolle (Merino medium, superwash)
 Lace Ball 100 2169_ Rauchzeichen 100% Schurwolle (Merino medium, superwash)
Lace Ball 100 2170_ Blasser Schimmer 100% Schurwolle (Merino medium, superwash)
 Lace Ball 100 2179_ Blaukraut bleibt Blaukraut 100% Schurwolle (Merino medium, superwash)
Lace Ball 100 2229_ Sphinx 100% Schurwolle (Merino medium, superwash)
 Lace Ball 100 2245_ Sofaecke 100% Schurwolle (Merino medium, superwash)
 Lace Ball 100 2249_ Teezeremonie 100% Schurwolle (Merino medium, superwash)
Lace Ball 100 2257_ Zone Aquatique 100% Schurwolle (Merino medium, superwash)
 Lace Ball 100 2264_ Licht im Schacht 100% Schurwolle (Merino medium, superwash)
Lace Ball 100 2270_ Villa Rosa 100% Schurwolle (Merino medium, superwash)
 Lace Ball 100 2305_ Red to Go 100% Schurwolle (Merino medium, superwash)
 Lace Ball 100 2309_ Blaue Lagune 100% Schurwolle (Merino medium, superwash)
Lace Ball 100 2324_ Schlichte Fichte 100% Schurwolle (Merino medium, superwash)
 Lace Ball 100 2330_ Herbstmeister 100% Schurwolle (Merino medium, superwash)
Lace Ball 100 2331_ Komfortzone 100% Schurwolle (Merino medium, superwash)
 Lace Ball 100 2350_ Frühblüher 100% Schurwolle (Merino medium, superwash)
 Lace Ball 100 2357_ Streiflichter 100% Schurwolle (Merino medium, superwash)
Lace Ball 100 2359_ Kichererbse 100% Schurwolle (Merino medium, superwash)
 Lace Ball 100 2365_ Mittelland 100% Schurwolle (Merino medium, superwash)
Lace Ball 100 2398_ Lange Bank 100% Schurwolle (Merino medium, superwash)
 Lace Ball 100 2403_ Vitamin C 100% Schurwolle (Merino medium, superwash)
 Lace Ball 100 2436_ Waldmeister 100% Schurwolle (Merino medium, superwash)
 Lace Ball 100 2437_ Alles Paletti 100% Schurwolle (Merino medium, superwash)
 
