Lace Flower 1505 Kunterbunt 100% Schurwolle (Merino medium, superwash)
Lace Flower 2169_ Rauchzeichen 100% Schurwolle (Merino medium, superwash)
 Lace Flower 2170_ Blasser Schimmer 100% Schurwolle (Merino medium, superwash)
Lace Flower 2179_ Blaukraut bleibt Blaukraut 100% Schurwolle (Merino medium, superwash)
 Lace Flower 2330_ Herbstmeister 100% Schurwolle (Merino medium, superwash)
Lace Flower 2350_ Frühblüher 100% Schurwolle (Merino medium, superwash)
 Lace Flower 2357_ Streiflichter 100% Schurwolle (Merino medium, superwash)
 ace Flower 2359_ Kichererbse 100% Schurwolle (Merino medium, superwash)
Lace Flower 2365_ Mittelland 100% Schurwolle (Merino medium, superwash)
 ce Flower 2398_ Lange Bank 100% Schurwolle (Merino medium, superwash)
Lace Flower 2403_ Vitamin C 100% Schurwolle (Merino medium, superwash)
 
