
Wool FINEST 2258_ Waldgrenze 100% Schurwolle (Merino fine, superwash)
 Wool FINEST 2272_ Basalt 100% Schurwolle (Merino fine, superwash)
Wool FINEST 2277_ Runde Rot 100% Schurwolle (Merino fine, superwash)
 Wool FINEST 2279_ Rechtes Licht 100% Schurwolle (Merino fine, superwash)
Wool FINEST 2280_ Whiskey 100% Schurwolle (Merino fine, superwash)
 Wool FINEST 2281_ Hut ab 100% Schurwolle (Merino fine, superwash)
 Wool FINEST 2282_ Nachtfalter 100% Schurwolle (Merino fine, superwash)
Wool FINEST 2283_ Samt + Sonders 100% Schurwolle (Merino fine, superwash)
 Wool FINEST 2284_ Papaya 100% Schurwolle (Merino fine, superwash)
 Wool FINEST 2285_ Raw Denim 100% Schurwolle (Merino fine, superwash)
Wool FINEST 2287_ Meeresblick 100% Schurwolle (Merino fine, superwash)
 Wool FINEST 2323_ Rosenkavalier 100% Schurwolle (Merino fine, superwash)
Wool FINEST 2345_ Sand am Meer 100% Schurwolle (Merino fine, superwash)
 Wool FINEST 2347_ Bernstein zimmer 100% Schurwolle (Merino fine, superwash)
 Wool FINEST 2348_ Ultra Rot 100% Schurwolle (Merino fine, superwash)
Wool FINEST 2378_ Raw Chocolate 100% Schurwolle (Merino fine, superwash)
 
